username,repo_name,stars,repo_url
vercel,next.js,https://github.com//vercel/next.js,74500
webpack,webpack,https://github.com//webpack/webpack,59600
rust-lang,rust,https://github.com//rust-lang/rust,59400
gatsbyjs,gatsby,https://github.com//gatsbyjs/gatsby,51500
sveltejs,svelte,https://github.com//sveltejs/svelte,51000
babel,babel,https://github.com//babel/babel,39800
parcel-bundler,parcel,https://github.com//parcel-bundler/parcel,39100
JetBrains,kotlin,https://github.com//JetBrains/kotlin,39000
evanw,esbuild,https://github.com//evanw/esbuild,27900
markedjs,marked,https://github.com//markedjs/marked,26100
vlang,v,https://github.com//vlang/v,25700
vercel,pkg,https://github.com//vercel/pkg,18900
v8,v8,https://github.com//v8/v8,18400
swc-project,swc,https://github.com//swc-project/swc,15600
AssemblyScript,assemblyscript,https://github.com//AssemblyScript/assemblyscript,12800
Konloch,bytecode-viewer,https://github.com//Konloch/bytecode-viewer,12500
nim-lang,Nim,https://github.com//nim-lang/Nim,11900
ziglang,zig,https://github.com//ziglang/zig,10700
gopherjs,gopherjs,https://github.com//gopherjs/gopherjs,10600
compiler-explorer,compiler-explorer,https://github.com//compiler-explorer/compiler-explorer,9500
RustPython,RustPython,https://github.com//RustPython/RustPython,9400
apache,tvm,https://github.com//apache/tvm,7200
JetBrains,kotlin-native,https://github.com//JetBrains/kotlin-native,7100
numba,numba,https://github.com//numba/numba,6900
elm,compiler,https://github.com//elm/compiler,6600
aalhour,awesome-compilers,https://github.com//aalhour/awesome-compilers,6300
Nuitka,Nuitka,https://github.com//Nuitka/Nuitka,5900
DoctorWkt,acwj,https://github.com//DoctorWkt/acwj,5600
rescript-lang,rescript-compiler,https://github.com//rescript-lang/rescript-compiler,5500
lebab,lebab,https://github.com//lebab/lebab,5500
